precio_loc,farmacia,producto,busqueda,hora_consulta,pais,tipo_cambio,precio,farmaca_corto,product_name,num_prod,presentacion,unit,quantity
179.0,pricepropharmacy.com/,capecitabina,capecitabina,13:56:47 22/09/2023,Canada,16.7667,3001.24,pchecker,capecitabina,120,tableta,mg,500.0
257.25,spfpharmacy.com,capecitabina,capecitabina,13:56:47 22/09/2023,Canada,16.7667,4313.23,pchecker,capecitabina,120,tableta,mg,500.0
493.5,spfpharmacy.com,capecitabina,capecitabina,13:56:47 22/09/2023,Canada,16.7667,8274.37,pchecker,capecitabina,240,tableta,mg,500.0
89.99,canadianpharmacystore.com,capecitabina,capecitabina,13:57:05 22/09/2023,Canada,16.7667,1508.84,pchecker,capecitabina,60,tableta,mg,150.0
178.99,canadianpharmacystore.com,capecitabina,capecitabina,13:57:05 22/09/2023,Canada,16.7667,3001.07,pchecker,capecitabina,120,tableta,mg,150.0
80.39999999999999,discountcanadadrugs.com/,capecitabina,capecitabina,13:57:05 22/09/2023,Canada,16.7667,1348.04,pchecker,capecitabina,60,tableta,mg,150.0
160.8,discountcanadadrugs.com/,capecitabina,capecitabina,13:57:05 22/09/2023,Canada,16.7667,2696.09,pchecker,capecitabina,120,tableta,mg,150.0
105.0,pricepropharmacy.com/,capecitabina,capecitabina,13:57:05 22/09/2023,Canada,16.7667,1760.5,pchecker,capecitabina,60,tableta,mg,150.0
65.1,spfpharmacy.com,capecitabina,capecitabina,13:57:05 22/09/2023,Canada,16.7667,1091.51,pchecker,capecitabina,60,tableta,mg,150.0
130.20000000000002,spfpharmacy.com,capecitabina,capecitabina,13:57:05 22/09/2023,Canada,16.7667,2183.02,pchecker,capecitabina,120,tableta,mg,150.0
165.12,1800rxonline.com/,xeloda,capecitabina,13:57:26 22/09/2023,Canada,16.7667,2768.52,pchecker,xeloda,30,tableta,mg,500.0
1075.99,canadianpharmacystore.com,xeloda,capecitabina,13:57:26 22/09/2023,Canada,16.7667,18040.8,pchecker,xeloda,120,tableta,mg,500.0
315.0,canadianprescriptiondrugstore.com/,xeloda,capecitabina,13:57:26 22/09/2023,Canada,16.7667,5281.51,pchecker,xeloda,90,tableta,mg,500.0
1066.55,discountcanadadrugs.com/,xeloda,capecitabina,13:57:26 22/09/2023,Canada,16.7667,17882.52,pchecker,xeloda,120,tableta,mg,500.0
404.48,liferxpharmacy.com/,xeloda,capecitabina,13:57:26 22/09/2023,Canada,16.7667,6781.79,pchecker,xeloda,90,tableta,mg,500.0
808.94,liferxpharmacy.com/,xeloda,capecitabina,13:57:26 22/09/2023,Canada,16.7667,13563.25,pchecker,xeloda,180,tableta,mg,500.0
369.68,medsengage.com,xeloda,capecitabina,13:57:26 22/09/2023,Canada,16.7667,6198.31,pchecker,xeloda,60,tableta,mg,500.0
462.1,medsengage.com,xeloda,capecitabina,13:57:26 22/09/2023,Canada,16.7667,7747.89,pchecker,xeloda,90,tableta,mg,500.0
347.92,offshorecheapmeds.com,xeloda,capecitabina,13:57:26 22/09/2023,Canada,16.7667,5833.47,pchecker,xeloda,60,tableta,mg,500.0
434.92,offshorecheapmeds.com,xeloda,capecitabina,13:57:26 22/09/2023,Canada,16.7667,7292.17,pchecker,xeloda,90,tableta,mg,500.0
520.0,pricepropharmacy.com/,xeloda,capecitabina,13:57:26 22/09/2023,Canada,16.7667,8718.68,pchecker,xeloda,120,tableta,mg,500.0
974.4,spfpharmacy.com,xeloda,capecitabina,13:57:26 22/09/2023,Canada,16.7667,16337.47,pchecker,xeloda,120,tableta,mg,500.0
151.99,canadianpharmacystore.com,xeloda,capecitabina,13:57:48 22/09/2023,Canada,16.7667,2548.37,pchecker,xeloda,60,tableta,mg,150.0
287.99,canadianpharmacystore.com,xeloda,capecitabina,13:57:48 22/09/2023,Canada,16.7667,4828.64,pchecker,xeloda,120,tableta,mg,150.0
142.57000000000002,discountcanadadrugs.com/,xeloda,capecitabina,13:57:48 22/09/2023,Canada,16.7667,2390.43,pchecker,xeloda,60,tableta,mg,150.0
278.28000000000003,discountcanadadrugs.com/,xeloda,capecitabina,13:57:48 22/09/2023,Canada,16.7667,4665.84,pchecker,xeloda,120,tableta,mg,150.0
150.0,offshorecheapmeds.com,xeloda,capecitabina,13:57:48 22/09/2023,Canada,16.7667,2515.0,pchecker,xeloda,60,tableta,mg,150.0
300.0,offshorecheapmeds.com,xeloda,capecitabina,13:57:48 22/09/2023,Canada,16.7667,5030.01,pchecker,xeloda,120,tableta,mg,150.0
189.0,pricepropharmacy.com/,xeloda,capecitabina,13:57:48 22/09/2023,Canada,16.7667,3168.91,pchecker,xeloda,60,tableta,mg,150.0
147.0,spfpharmacy.com,xeloda,capecitabina,13:57:48 22/09/2023,Canada,16.7667,2464.7,pchecker,xeloda,60,tableta,mg,150.0
428.40000000000003,spfpharmacy.com,xeloda,capecitabina,13:57:48 22/09/2023,Canada,16.7667,7182.85,pchecker,xeloda,180,tableta,mg,150.0
502.00000000000006,canadianprescriptiondrugstore.com/,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,8416.88,pchecker,rybelsus,90,tableta,mg,3.0
402.29,offshorecheapmeds.com,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,6745.08,pchecker,rybelsus,60,tableta,mg,3.0
571.68,offshorecheapmeds.com,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,9585.19,pchecker,rybelsus,90,tableta,mg,3.0
194.76,1800rxonline.com/,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,3265.48,pchecker,rybelsus,30,tableta,mg,3.0
518.47,1800rxonline.com/,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,8693.03,pchecker,rybelsus,90,tableta,mg,3.0
813.0,buylowdrugs.com/,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,13631.33,pchecker,rybelsus,90,tableta,mg,3.0
195.99,canadianpharmacystore.com,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,3286.11,pchecker,rybelsus,30,tableta,mg,3.0
550.99,canadianpharmacystore.com,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,9238.28,pchecker,rybelsus,90,tableta,mg,3.0
185.35000000000002,discountcanadadrugs.com/,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,3107.71,pchecker,rybelsus,30,tableta,mg,3.0
542.18,discountcanadadrugs.com/,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,9090.57,pchecker,rybelsus,90,tableta,mg,3.0
356.68,liferxpharmacy.com/,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,5980.35,pchecker,rybelsus,60,tableta,mg,3.0
506.86,liferxpharmacy.com/,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,8498.37,pchecker,rybelsus,90,tableta,mg,3.0
356.3,medsengage.com,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,5973.98,pchecker,rybelsus,60,tableta,mg,3.0
506.32,medsengage.com,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,8489.32,pchecker,rybelsus,90,tableta,mg,3.0
325.0,pricepropharmacy.com/,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,5449.18,pchecker,rybelsus,30,tableta,mg,3.0
900.0,pricepropharmacy.com/,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,15090.03,pchecker,rybelsus,90,tableta,mg,3.0
305.0,spfpharmacy.com,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,5113.84,pchecker,rybelsus,30,tableta,mg,3.0
885.0,spfpharmacy.com,rybelsus,semaglutida,13:58:11 22/09/2023,Canada,16.7667,14838.53,pchecker,rybelsus,90,tableta,mg,3.0
500.00000000000006,canadianprescriptiondrugstore.com/,rybelsus,semaglutida,13:58:38 22/09/2023,Canada,16.7667,8383.35,pchecker,rybelsus,90,tableta,mg,7.0
362.46000000000004,offshorecheapmeds.com,rybelsus,semaglutida,13:58:38 22/09/2023,Canada,16.7667,6077.26,pchecker,rybelsus,60,tableta,mg,7.0
515.0799999999999,offshorecheapmeds.com,rybelsus,semaglutida,13:58:38 22/09/2023,Canada,16.7667,8636.19,pchecker,rybelsus,90,tableta,mg,7.0
